Protein.ID	Gene.name	Group	Experiments where FN	Experiments where TP
P62829	RPL23	no group	NCBP1-LAP, multi-well_NCBP1_7	NCBP2-LAP, multi-well_NCBP2_20
P62913;P62913-2	RPL11	no group	NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_20	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12
P62979;P62987;P0CG47;P0CG48	RPS27A;UBA52;UBB;UBC	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_14; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_20	NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_12
P63244	GNB2L1	no group	NCBP1-LAP, multi-well_NCBP1_18	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_20
P67809;Q9Y2T7	YBX1	no group	NCBP3-LAP, test tubes_NCBP3_18; NCBP1-LAP, multi-well_NCBP1_7	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_12
P68363;P68363-2;Q9H853	TUBA1B	no group	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_10	NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12
P68371;P04350	TUBB4B;TUBB4A	no group	NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_7
P78527;P78527-2	PRKDC	no group	NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_20	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12
P81605;P81605-2	DCD	no group	NCBP2-LAP, multi-well_NCBP2_18; NCBP2-LAP, multi-well_NCBP2_7	NCBP2-LAP, multi-well_NCBP2_10; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_14
Q02809;Q02809-2	PLOD1	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP1-LAP, multi-well_NCBP1_14; NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_18
Q06830	PRDX1	no group	NCBP3-LAP, test tubes_NCBP3_10; NCBP1-LAP, multi-well_NCBP1_14	NCBP1-LAP, multi-well_NCBP1_10
Q07065;Q96K21-4;Q96K21-3;Q96K21-2;Q96K21	CKAP4	no group	NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_12
Q08188	TGM3	no group	NCBP2-LAP, multi-well_NCBP2_14	NCBP2-LAP, multi-well_NCBP2_7
Q09666;Q09666-2;P48552	AHNAK	no group	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_20	NCBP1-LAP, multi-well_NCBP1_14; NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_12
Q12788	TBL3	no group	NCBP2-LAP, multi-well_NCBP2_12	NCBP2-LAP, multi-well_NCBP2_20
Q12906-7;Q12906;Q12906-4;Q12906-6;Q12906-5;Q12906-2;Q12906-3	ILF3	no group	NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_20; NCBP2-LAP, multi-well_NCBP2_20
Q13151	HNRNPA0	no group	NCBP1-LAP, multi-well_NCBP1_18	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_7
Q13310-3;Q13310-2;Q13310;P0CB38	PABPC4	no group	NCBP3-LAP, test tubes_NCBP3_18	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_20
Q14103-4;Q14103-3;Q14103-2;Q14103	HNRNPD	no group	NCBP3-LAP, test tubes_NCBP3_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18
Q14126	DSG2	no group	NCBP2-LAP, multi-well_NCBP2_18	NCBP2-LAP, multi-well_NCBP2_7
Q15366-6;Q15366-3;Q15366;Q15366-2;Q15366-4;Q15366-5;Q15366-7;Q15366-8;P57721-2;P57721-3;P57721-5;P57721-4;P57721	PCBP2	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP2-LAP, multi-well_NCBP2_20	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_12
Q15717;Q15717-2;P26378-4;P26378-2;P26378-5;P26378;P26378-3	ELAVL1	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7
Q5VTE0;P68104;P68104-2;Q05639	EEF1A1P5;EEF1A1	no group	NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_14	NCBP1-LAP, multi-well_NCBP1_10
Q6PKG0;Q6PKG0-3;Q659C4-7;Q659C4-6;Q659C4-5;Q659C4-2;Q659C4;Q659C4-9	LARP1	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_18	NCBP3-LAP, test tubes_NCBP3_10; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7
