Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
tkQE171103_JL601_Control_1_10_02	tk_NCBP3_C_1_10_02	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		12630	25557	0	28742	22372	0	6370	12030	11444	0	586	41.86	51.15	NaN	9.2	9847	735770	24173	3.29	817	3.38	96813	20863	20503	21.55	30.82	1350	6.47	+	0.80875	1.1211	0.51812	0.74217	
tkQE171103_JL601_Control_1_12	tk_NCBP3_C_1_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		14757	20936	0	23379	18493	0	4886	4898	4826	0	72	20.95	26.1	NaN	1.47	3763	959924	19569	2.04	824	4.21	95135	17146	16557	18.02	29.54	1187	6.92	+	0.75498	1.0177	0.45711	0.62462	
tkQE171103_JL601_Control_1_18	tk_NCBP3_C_1_18	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		17091	12487	0	13704	11270	0	2434	2737	2693	0	44	19.97	23.9	NaN	1.81	2286	1197012	11685	0.98	488	4.18	93851	10552	10043	11.24	19.94	613	5.81	+	0.85241	1.0992	0.50336	0.66158	
tkQE171103_JL601_Control_1_7	tk_NCBP3_C_1_7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		18402	8828	0	9979	7677	0	2302	753	733	0	20	7.55	9.55	NaN	0.87	549	1223275	7998	0.65	437	5.46	91085	7026	6549	7.71	16.67	519	7.39	+	0.99814	1.2343	0.61615	0.77772	
tkQE171103_JL601_Control_2_10	tk_NCBP3_C_2_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		11752	29079	0	31415	26743	0	4672	15596	15007	0	589	49.65	56.12	NaN	12.61	13323	980348	27858	2.84	859	3.08	131165	25150	24768	19.17	25.24	1389	5.52	+	0.82018	1.1459	0.53262	0.77148	
tkQE171103_JL601_Control_2_12	tk_NCBP3_C_2_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		15681	17378	0	18986	15770	0	3216	4124	4075	0	49	21.72	25.84	NaN	1.52	3188	1086466	16345	1.5	672	4.11	99846	14692	14253	14.71	25.76	956	6.51	+	0.79809	1.0675	0.47885	0.65451	
tkQE171103_JL601_Control_2_18	tk_NCBP3_Cl_2_18	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		18174	9089	0	10024	8154	0	1870	1784	1761	0	23	17.8	21.6	NaN	1.23	1477	1346065	8480	0.63	375	4.42	99806	7631	7224	7.65	16.03	450	5.9	+	0.94843	1.1967	0.55386	0.70622	
tkQE171103_JL601_Control_2_7_02	tk_NCBP3_C_2_7_02	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		19239	4065	0	4749	3381	0	1368	310	300	0	10	6.53	8.87	NaN	0.73	259	1382949	3709	0.27	156	4.21	104837	3200	2963	3.05	8.58	169	5.28	+	1.1715	1.4415	0.72178	0.913	
tkQE171103_JL601_Control_3_10	tk_NCBP3_C_3_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		11122	30542	0	33960	27124	0	6836	15162	14499	0	663	44.65	53.45	NaN	9.7	12759	927907	29185	3.15	868	2.97	122404	25606	25161	20.92	28.05	1398	5.46	+	0.78968	1.109	0.50629	0.7396	
tkQE171103_JL601_Control_3_12	tk_NCBP3_C_3_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		17725	10255	0	11037	9473	0	1564	2197	2170	0	27	19.91	22.91	NaN	1.73	1796	1265771	9716	0.77	357	3.67	98457	8969	8683	9.11	18.16	457	5.1	+	0.82293	1.0702	0.48667	0.64647	
